,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-13.380979,-43.218441,1143.554688,-173.916077,-521.564514,124.561974,89.4431,-116.112625,105.392082
2,0,-16.016155,-44.92326,1142.779297,-174.001984,-518.106567,121.16098,89.389671,-112.876213,105.451691
3,0,-18.704544,-46.724075,1142.071777,-174.234573,-514.918152,118.65435,89.312492,-108.349464,105.521744
4,0,-21.536751,-48.626839,1141.459961,-174.688828,-512.653992,115.538254,89.196579,-103.442215,105.587845
5,0,-24.39496,-50.495476,1140.927979,-175.069244,-511.560974,111.380409,89.008453,-98.66906,105.6586
6,0,-27.188093,-52.342609,1140.555176,-175.311554,-510.613556,107.490692,88.740356,-94.130478,105.749367
7,0,-29.919098,-54.285915,1140.339355,-175.087631,-509.051666,103.890724,88.42514,-89.808479,105.865479
8,0,-32.694702,-56.186859,1140.311768,-174.50264,-506.832611,101.22274,88.097343,-85.698448,106.00576
9,0,-35.501598,-58.015503,1140.376221,-174.156235,-503.327026,99.969337,87.772964,-81.81221,106.167664
10,0,-38.266384,-59.758793,1140.666992,-174.115906,-498.859528,99.215424,87.476006,-78.153389,106.344566
11,0,-41.022438,-61.446133,1141.158081,-174.257965,-494.417145,98.518166,87.263268,-74.712486,106.52063
12,0,-43.771133,-63.063183,1141.87085,-174.559158,-489.822784,97.923752,87.20401,-71.493736,106.67942
13,0,-46.518242,-64.664406,1142.774048,-175.005539,-484.96402,97.41201,87.329674,-68.533768,106.821602
14,0,-49.209572,-66.254364,1143.778442,-175.342712,-480.065887,97.040665,87.622841,-65.872101,106.955147
15,0,-52.003422,-67.848328,1144.771606,-175.679672,-475.098389,96.75132,88.043976,-63.5271,107.068268
16,0,-54.786427,-69.348854,1145.796387,-175.822342,-470.128693,96.450233,88.531532,-61.513119,107.134995
17,0,-57.526802,-70.809486,1146.75415,-175.919098,-465.360504,96.252419,89.003464,-59.842175,107.145035
18,0,-60.19841,-72.21209,1147.566406,-175.837006,-460.571259,96.06237,89.403931,-58.508698,107.122467
19,0,-62.861389,-73.475487,1148.348755,-175.683395,-455.663177,95.810104,89.744102,-57.490723,107.122353
20,0,-65.354332,-74.705482,1148.995239,-175.523483,-450.934662,95.709206,90.071541,-56.719765,107.185898
21,0,-67.684013,-75.811806,1149.494141,-175.290527,-446.148804,95.517151,90.38842,-56.028034,107.293198
22,0,-69.933479,-76.726768,1149.886963,-175.237701,-441.310455,95.359619,90.627045,-55.209911,107.42189
23,0,-71.98671,-77.501022,1150.12915,-175.248642,-436.402588,95.171661,90.741417,-54.218529,107.702339
24,0,-73.745972,-78.108223,1150.196777,-175.423218,-431.499847,94.963188,90.797867,-53.257408,108.448921
25,0,-75.599724,-78.563461,1150.105713,-175.614746,-426.534912,94.764221,90.904655,-52.588394,109.918831
26,0,-77.111519,-78.848129,1149.941528,-175.922516,-421.685364,94.663155,91.073692,-52.299847,112.094208
27,0,-78.595695,-79.046791,1149.673584,-176.138596,-416.602051,94.410362,91.224991,-52.33696,114.807846
28,0,-79.910164,-79.101807,1149.402588,-176.300201,-411.667328,94.285278,91.277794,-52.659611,117.967407
29,0,-81.341278,-79.09864,1149.171875,-176.496979,-406.670288,94.206924,91.184441,-53.305233,121.577652
30,0,-82.620277,-79.005371,1148.950928,-176.719818,-401.728912,94.07019,90.926888,-54.396969,125.667542
31,0,-84.00251,-78.850815,1148.774536,-176.860153,-396.683136,93.96225,90.503723,-56.148396,130.239685
32,0,-85.39743,-78.704361,1148.70459,-177.001404,-391.776398,93.953918,89.906868,-58.805157,135.195435
33,0,-86.6436,-78.468552,1148.733887,-177.093292,-386.796448,93.83532,89.128593,-62.518784,140.270584
34,0,-87.938545,-78.166733,1148.829224,-177.032013,-381.797546,93.764572,88.198105,-67.272446,145.107666
35,0,-89.043457,-77.856346,1148.921509,-177.161652,-376.906036,93.749557,87.178841,-72.948593,149.417374
36,0,-90.111145,-77.493729,1149.139038,-177.127518,-371.884918,93.765396,86.114441,-79.446098,153.038345
37,0,-91.048698,-77.077713,1149.442627,-177.179749,-366.84079,93.769768,85.005684,-86.71714,155.893707
38,0,-91.853409,-76.683098,1149.779541,-177.205643,-361.744293,93.787048,83.848114,-94.741608,157.974213
39,0,-92.607315,-76.225716,1150.211426,-177.244446,-356.716064,93.761826,82.662056,-103.504356,159.338699
40,0,-93.301476,-75.706863,1150.591553,-177.210922,-351.692596,93.743774,81.484802,-112.982994,160.077744
