Trajectories
100
,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-8.551027,418.573151,1153.867676,-175.359787,319.831329,142.908585,62.681824,224.094193,107.070129
2,0,-9.057444,419.175232,1153.951538,-174.784546,289.305389,139.008453,63.001453,238.631088,107.009163
3,0,-9.459185,419.323273,1153.713013,-174.426056,258.291718,134.506653,63.252777,253.118301,106.944283
4,0,-9.799880,418.781036,1152.978027,-174.207703,226.783997,129.659592,63.464001,267.746246,106.667313
5,0,-10.312121,418.793091,1152.189575,-174.101517,194.755646,124.893684,63.643230,282.095276,106.653809
6,0,-10.952445,418.758606,1151.162598,-174.761597,161.012878,121.385056,63.723579,296.985504,106.643494
7,0,-11.722785,418.619049,1150.005981,-174.863495,128.291855,117.430817,63.471779,310.959625,106.475136
8,0,-12.563347,418.373230,1148.805908,-175.201736,95.277534,114.297585,63.325039,325.172211,106.409210
9,0,-13.538607,417.983398,1147.520996,-175.640244,62.504589,112.122803,62.914253,339.371216,106.101349
10,0,-14.680452,417.420807,1146.135864,-176.329620,29.449341,110.896034,62.676727,353.467529,106.054085
11,0,-15.843040,416.739319,1144.565796,-177.754852,-3.692580,111.280396,62.541409,367.595734,106.023148
12,0,-17.153566,415.913940,1142.800537,-179.271454,-36.569077,113.365463,62.405342,381.760681,105.976570
13,0,-18.477144,414.916229,1140.810791,-181.033707,-68.552383,117.182243,62.207211,395.838989,106.000633
14,0,-19.954750,413.750061,1138.742310,-182.430481,-98.942841,123.013176,62.459873,409.597992,106.034683
15,0,-21.606092,412.304565,1136.601685,-183.705673,-127.155663,131.116150,62.518536,423.306427,106.072525
16,0,-23.645126,410.617249,1134.452393,-184.410065,-152.148300,140.684891,62.603340,436.845764,105.951706
17,0,-25.982832,408.590027,1132.157471,-184.609604,-173.633316,150.913574,62.879860,450.193298,105.834793
18,0,-28.556658,406.465851,1129.686157,-184.642303,-191.431702,160.561188,63.221001,463.307617,105.705864
19,0,-31.113304,404.172028,1127.112915,-184.694061,-205.393921,168.352188,63.735329,476.213287,105.500374
20,0,-33.851547,401.809021,1124.663452,-184.674301,-215.060699,173.440292,64.265388,488.715485,105.183998
21,0,-36.585537,399.523987,1122.366821,-183.348984,-219.848618,174.541824,64.906166,500.922546,104.759964
22,0,-39.122398,397.125153,1120.141479,-180.696487,-220.746429,171.957642,65.608269,512.738892,104.256477
23,0,-41.310360,394.595917,1117.846924,-176.938995,-219.168701,165.507141,66.461334,524.223694,103.497177
24,0,-43.221912,391.757751,1115.431519,-172.940643,-215.935501,156.027863,67.327690,535.201965,102.547409
25,0,-44.980785,388.403809,1113.034302,-169.726379,-209.543427,144.743164,68.220680,545.481262,101.296715
26,0,-46.875847,384.552887,1110.900146,-167.192551,-201.694534,134.977798,69.149193,555.772034,99.382591
27,0,-48.969212,380.295990,1109.448730,-164.684464,-195.313934,127.517387,69.855515,564.561646,97.762024
28,0,-50.990635,376.107513,1108.885498,-162.133392,-192.560608,119.101776,70.780838,573.636719,95.851921
29,0,-52.730583,372.431244,1108.896606,-159.642181,-191.392120,107.869576,71.808533,581.562500,95.169975
30,0,-53.766838,369.138367,1109.070679,-158.177292,-185.351913,98.354927,71.992058,589.298218,95.497276
31,0,-54.556259,366.047180,1109.117920,-157.667221,-174.716858,94.478287,72.332512,595.787964,97.323151
32,0,-55.136375,363.295837,1109.208252,-157.841415,-160.258423,94.052986,72.688866,600.723877,100.169769
33,0,-55.599636,360.924500,1109.445801,-157.469421,-146.610764,93.075470,73.204468,603.537903,104.242218
34,0,-55.930954,358.595734,1110.035645,-157.099762,-133.007980,92.301376,73.803215,603.940063,109.430939
35,0,-56.297340,356.439087,1110.834351,-156.619003,-118.571182,92.011154,74.679184,601.802673,115.818764
