Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,100.311607,270.239685,1031.764771,-39.314083,-181.586197,148.899673,137.927505,136.943848,113.705215
2,0,99.679108,270.513489,1031.652222,-39.19202,-182.451172,149.508087,138.083954,139.936951,113.667801
3,0,98.794952,270.867249,1031.490723,-38.996914,-183.043808,149.891647,138.319397,143.976715,113.617073
4,0,97.723007,271.252228,1031.289307,-38.704884,-182.991364,149.666626,138.632263,148.632462,113.559059
5,0,96.518089,271.627991,1031.054932,-38.247547,-182.097504,148.567032,139.018829,153.519165,113.499496
6,0,95.20562,271.973511,1030.786255,-37.509956,-180.303955,146.614502,139.467346,158.411835,113.443428
7,0,93.786827,272.282593,1030.476318,-36.380619,-177.628723,144.147446,139.954559,163.214706,113.395004
8,0,92.249321,272.555511,1030.11792,-34.826305,-174.266479,141.561615,140.455078,167.899811,113.356323
9,0,90.574654,272.7901,1029.710205,-32.931091,-170.646561,139.006241,140.955612,172.465454,113.327499
10,0,88.744186,272.975281,1029.263794,-30.859821,-167.209061,136.423874,141.460358,176.918716,113.308937
11,0,86.742325,273.090088,1028.798828,-28.784962,-164.145645,133.783157,141.98378,181.270599,113.302834
12,0,84.560471,273.113586,1028.339478,-26.840252,-161.389481,131.158524,142.538544,185.535706,113.312355
13,0,82.206818,273.037354,1027.911011,-25.127756,-158.786652,128.64798,143.129639,189.732574,113.340919
14,0,79.713936,272.871185,1027.536499,-23.736433,-156.244034,126.292992,143.754761,193.879517,113.391617
15,0,77.134789,272.638245,1027.236816,-22.706707,-153.696289,124.09082,144.405533,197.9814,113.464432
16,0,74.531052,272.364929,1027.031006,-21.985086,-150.966522,122.072548,145.066727,202.02092,113.556381
17,0,71.96228,272.075378,1026.931396,-21.468454,-147.789276,120.352898,145.719589,205.967667,113.667374
18,0,69.479431,271.792603,1026.936523,-21.088068,-144.020676,119.055748,146.346817,209.79805,113.804451
19,0,67.114655,271.537292,1027.028564,-20.814592,-139.738678,118.183609,146.936325,213.505295,113.980072
20,0,64.866661,271.32196,1027.178955,-20.630871,-135.131546,117.625816,147.487381,217.090973,114.207306
21,0,62.700218,271.148804,1027.358643,-20.555897,-130.387939,117.268707,148.010406,220.549316,114.493553
22,0,60.566391,271.015747,1027.547119,-20.640711,-125.65464,117.03624,148.518127,223.862457,114.838638
23,0,58.420586,270.920898,1027.733032,-20.882172,-120.970917,116.857239,149.025909,227.011795,115.238884
24,0,56.223999,270.862122,1027.905884,-21.192591,-116.279297,116.654076,149.552277,229.99144,115.690048
25,0,53.940887,270.835266,1028.05249,-21.483242,-111.551231,116.394577,150.108871,232.80928,116.187164
26,0,51.546177,270.836456,1028.162476,-21.714184,-106.802582,116.125084,150.695862,235.473312,116.720398
27,0,49.038097,270.866577,1028.236328,-21.878839,-101.987953,115.926369,151.29895,237.97525,117.263214
28,0,46.441242,270.933594,1028.283325,-22.001162,-97.004181,115.845032,151.877258,240.287521,117.763161
29,0,43.798695,271.053131,1028.317749,-22.116652,-91.799507,115.851402,152.366241,242.379272,118.156647
30,0,41.160374,271.245697,1028.348267,-22.242838,-86.438179,115.867928,152.724274,244.24855,118.416039
31,0,38.569847,271.533051,1028.373413,-22.387352,-81.085693,115.836311,152.982422,245.946594,118.596542
32,0,36.057434,271.939026,1028.379517,-22.553923,-75.900421,115.742455,153.21196,247.552673,118.813019
33,0,33.645786,272.489594,1028.345825,-22.740255,-70.912254,115.618668,153.45137,249.097031,119.161621
34,0,31.358257,273.205963,1028.247314,-22.942026,-66.020271,115.532997,153.715744,250.505173,119.686874
35,0,29.214911,274.100281,1028.062622,-23.127855,-61.072865,115.526291,154.029404,251.642258,120.395363
36,0,27.219561,275.176544,1027.781494,-23.231617,-55.978966,115.562012,154.390884,252.424713,121.260078
37,0,25.360636,276.433014,1027.406738,-23.199612,-50.773125,115.56646,154.7491,252.87178,122.230568
38,0,23.625893,277.865021,1026.947388,-23.024826,-45.545876,115.508972,155.04274,253.048355,123.258842
39,0,22.004599,279.467255,1026.412231,-22.740622,-40.354877,115.422691,155.237503,253.002884,124.31488
40,0,20.48024,281.230499,1025.806763,-22.389061,-35.220913,115.344734,155.322296,252.780884,125.391411
41,0,19.032759,283.139465,1025.134766,-21.995201,-30.16036,115.267586,155.303635,252.451035,126.512024
42,0,17.644979,285.176819,1024.401245,-21.585299,-25.203268,115.177155,155.212585,252.06575,127.728928
