Trajectories
100
,,HW3-008:PELVIS_T,,,HW3-008:R_Foot_T,,,HW3-008:L_Foot_T,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,112.780830,-34.021584,945.465149,-23.543924,-452.848969,123.415382,223.790863,-167.192673,106.133667
2,0,112.217110,-33.942940,944.944397,-23.591854,-465.342194,125.635010,223.991028,-160.858078,106.134506
3,0,111.470993,-33.872826,944.133789,-23.424093,-481.651062,129.120819,224.245621,-152.301895,106.128113
4,0,110.629936,-33.840782,943.044006,-22.922020,-499.583893,133.735550,224.488464,-142.464798,106.102196
5,0,109.763779,-33.866695,941.706421,-22.074404,-517.197937,139.170761,224.656845,-132.195038,106.048592
6,0,108.906837,-33.959129,940.163086,-20.980831,-533.346313,145.063965,224.727768,-121.969810,105.971169
7,0,108.068207,-34.118401,938.462952,-19.779184,-547.566223,151.061066,224.717636,-111.955635,105.880920
8,0,107.237923,-34.338993,936.658691,-18.584545,-559.769470,156.820038,224.658188,-102.165459,105.782310
9,0,106.391609,-34.611179,934.801392,-17.483864,-569.990479,161.988953,224.576050,-92.557709,105.671471
10,0,105.499870,-34.923153,932.935608,-16.550735,-578.274292,166.202820,224.487869,-83.071144,105.552437
11,0,104.529709,-35.267399,931.095398,-15.836284,-584.667908,169.121246,224.404968,-73.658508,105.444847
12,0,103.439949,-35.650143,929.302368,-15.337195,-589.243591,170.496918,224.338852,-64.316826,105.374115
13,0,102.187706,-36.096951,927.563904,-14.984598,-592.096985,170.238739,224.301727,-55.085045,105.360191
14,0,100.738564,-36.651844,925.872009,-14.685316,-593.302551,168.429993,224.301590,-46.021034,105.411308
15,0,99.065277,-37.370831,924.206665,-14.384898,-592.872864,165.287338,224.339157,-37.176765,105.521194
16,0,97.142578,-38.313801,922.542297,-14.091234,-590.779602,161.090881,224.413406,-28.576853,105.674164
17,0,94.948769,-39.539261,920.860229,-13.841210,-587.047852,156.129074,224.539169,-20.213179,105.855759
18,0,92.473183,-41.102386,919.163757,-13.648156,-581.882202,150.681641,224.768600,-12.074877,106.055634
19,0,89.720558,-43.049995,917.494812,-13.466396,-575.754883,145.023132,225.187988,-4.188691,106.256775
20,0,86.711800,-45.406548,915.944885,-13.180429,-569.371887,139.395142,225.885406,3.378491,106.429291
21,0,83.489044,-48.159119,914.652771,-12.634946,-563.463684,133.930740,226.920975,10.541286,106.535294
22,0,80.123833,-51.254368,913.783081,-11.726194,-558.473755,128.631927,228.311981,17.204815,106.524086
23,0,76.721092,-54.605846,913.480164,-10.499787,-554.325684,123.490646,230.022156,23.270020,106.319588
24,0,73.411934,-58.101913,913.816528,-9.152037,-550.454285,118.635902,231.952728,28.650644,105.835365
25,0,70.328102,-61.614227,914.759644,-7.929501,-546.112732,114.324356,233.942413,33.291729,105.040924
